Id,Sentence,Category
0,play someth 1971 john bochum,PlayMusic
1,like give two rate abolit britain,RateBook
2,locat show return mr moto,SearchCreativeWork
3,game call neutral zone,SearchCreativeWork
4,give textbook zero 6 point,RateBook
5,add roy romana playlist,AddToPlaylist
6,play turbul wild streetdanz jeff buckl,PlayMusic
7,like see pictur telecom,SearchCreativeWork
8,go warm today saint martin port oxford,GetWeather
9,book tree restaur sent martin,BookRestaurant
10,get chiller within walk distanc pw,GetWeather
11,add opu de funk list acoust blue,AddToPlaylist
12,red e tobi nemiciamici start thirteen hour,SearchScreeningEvent
13,play song 2006,PlayMusic
14,find attack surfac analyz paint,SearchCreativeWork
15,pleas rate current textbook 5 star 6,RateBook
16,humid parc nation de killarney,GetWeather
17,add tunnel love ether metal crash cours playlist,AddToPlaylist
18,find schedul film star theatr,SearchScreeningEvent
19,play music mark heard,PlayMusic
20,play adrian brand music zoo,PlayMusic
21,weather forecast ten year mount victori macro,GetWeather
22,give zero / 6 star current album,RateBook
23,play music last fm,PlayMusic
24,movi time consolid theatr,SearchScreeningEvent
25,show immort grand prix,SearchCreativeWork
26,let play album handov deeper,PlayMusic
27,play playlist runtim,PlayMusic
28,rate hunt gather two,RateBook
29,cloudi georgia,GetWeather
30,tv seri puppet master : axi evil cancel,SearchCreativeWork
31,pleas provid rainbow mar seri zero 6 point,RateBook
32,find dead matter speakeasi theater,SearchScreeningEvent
33,add live dragon ballroom trade,AddToPlaylist
34,weather forecast sixteen oklahoma,GetWeather
35,rate novel three 6 star,RateBook
36,need time 21 minut,GetWeather
37,book union oyster hous iranica puerto rico,BookRestaurant
38,book spot colleagu pizzeria pool wing mill wisconsin,BookRestaurant
39,book tabl greec 4,BookRestaurant
40,third eye show wilkinson theatr,SearchScreeningEvent
41,weather go like near moldova fri,GetWeather
42,add tune epic classic playlist,AddToPlaylist
43,need book restaur fork mountain sc salari mari,BookRestaurant
44,play movement 1974,PlayMusic
45,want hear opera netflix,PlayMusic
46,book reserv seven peopl highli rate restaur serf morocco food east greenvil,BookRestaurant
47,go windi parkway valley fire,GetWeather
48,add melon mcdonough indi song glacier playlist artist,AddToPlaylist
49,like go dougla theatr compani see beaver valley time movi play,SearchScreeningEvent
50,what temperatur far valley fire,GetWeather
51,show day earth caught fire movi,SearchCreativeWork
52,play music seventi,PlayMusic
53,hear song american high,SearchCreativeWork
54,book spot ten upper marlboro pr,BookRestaurant
55,play music 1976 deeper,PlayMusic
56,feel like current place juli,GetWeather
57,rate voyag dark 3 6,RateBook
58,play song newest movement princ last,PlayMusic
59,play music jeremi taylor album dorm amor la situat non è bona groov shark,PlayMusic
60,play new music liang book,PlayMusic
61,maria carol rex get ad woman sxsw playlist,AddToPlaylist
62,reserv smoke room restaur,BookRestaurant
63,weather like far alabama may 9 2037,GetWeather
64,movi theatr clean sober closest,SearchScreeningEvent
65,contemporari religi pagan get 3 rate,RateBook
66,give list film play neighbourhood,SearchScreeningEvent
67,find saga school girl holly-day,SearchCreativeWork
68,ten weather like nearbi cypru,GetWeather
69,rate current novel 5 6 point,RateBook
70,add tune indi workout playlist,AddToPlaylist
71,show forecast 6 year westlak villag guinea,GetWeather
72,book restaur ten sunset,BookRestaurant
73,play someth unto,PlayMusic
74,want add kara sister futur hit playlist,AddToPlaylist
75,play maori mochida popular music googl music,PlayMusic
76,raini parkway charleston lake provinci park 13 hour,GetWeather
77,add hang danc aftercluv playlist,AddToPlaylist
78,play want erykah bad,PlayMusic
79,play song workout playlist groov shark,PlayMusic
80,check forecast arson around 9 pm,GetWeather
81,book reserv gastropod serv liver onion,BookRestaurant
82,add belgian rose even list,AddToPlaylist
83,includ past behind top 100 rock track spotifi playlist,AddToPlaylist
84,like hear helen taylor,PlayMusic
85,weather bystrzyca valley landscap park,GetWeather
